Symbol,EarliestDate,LatestDate
BTCUSDT,8/17/2017,5/9/2024
ETHUSDT,8/17/2017,5/9/2024
BNBUSDT,11/6/2017,5/9/2024
BCCUSDT,11/11/2017,11/20/2018
NEOUSDT,11/20/2017,5/9/2024
LTCUSDT,12/13/2017,5/9/2024
QTUMUSDT,3/19/2018,5/9/2024
ADAUSDT,4/17/2018,5/9/2024
XRPUSDT,5/4/2018,5/9/2024
EOSUSDT,5/28/2018,5/9/2024
TUSDUSDT,5/31/2018,5/9/2024
IOTAUSDT,5/31/2018,5/9/2024
XLMUSDT,5/31/2018,5/9/2024
ONTUSDT,6/8/2018,5/9/2024
TRXUSDT,6/11/2018,5/9/2024
ETCUSDT,6/12/2018,5/9/2024
ICXUSDT,6/13/2018,5/9/2024
VENUSDT,6/22/2018,10/19/2018
NULSUSDT,7/23/2018,5/9/2024
VETUSDT,7/25/2018,5/9/2024
PAXUSDT,10/4/2018,9/6/2021
BCHABCUSDT,11/16/2018,11/28/2019
BCHSVUSDT,11/16/2018,4/22/2019
USDCUSDT,12/15/2018,5/9/2024
LINKUSDT,1/16/2019,5/9/2024
WAVESUSDT,1/18/2019,5/9/2024
BTTUSDT,1/31/2019,1/17/2022
USDSUSDT,2/14/2019,6/24/2020
ONGUSDT,2/16/2019,5/9/2024
HOTUSDT,2/18/2019,5/9/2024
ZILUSDT,2/19/2019,5/9/2024
ZRXUSDT,2/28/2019,5/9/2024
FETUSDT,2/28/2019,5/9/2024
BATUSDT,3/4/2019,5/9/2024
XMRUSDT,3/15/2019,2/20/2024
ZECUSDT,3/21/2019,5/9/2024
IOSTUSDT,3/22/2019,5/9/2024
CELRUSDT,3/25/2019,5/9/2024
DASHUSDT,3/28/2019,5/9/2024
NANOUSDT,4/3/2019,1/24/2022
OMGUSDT,4/3/2019,5/9/2024
THETAUSDT,4/10/2019,5/9/2024
ENJUSDT,4/18/2019,5/9/2024
MITHUSDT,4/19/2019,12/22/2022
MATICUSDT,4/26/2019,5/9/2024
ATOMUSDT,4/29/2019,5/9/2024
TFUELUSDT,5/24/2019,5/9/2024
ONEUSDT,6/1/2019,5/9/2024
FTMUSDT,6/11/2019,5/9/2024
ALGOUSDT,6/22/2019,5/9/2024
USDSBUSDT,6/24/2019,9/27/2019
GTOUSDT,7/1/2019,11/28/2022
ERDUSDT,7/4/2019,8/31/2020
DOGEUSDT,7/5/2019,5/9/2024
DUSKUSDT,7/22/2019,5/9/2024
ANKRUSDT,7/23/2019,5/9/2024
WINUSDT,8/1/2019,5/9/2024
COSUSDT,8/3/2019,5/9/2024
NPXSUSDT,8/13/2019,4/5/2021
COCOSUSDT,8/21/2019,5/29/2023
MTLUSDT,8/23/2019,5/9/2024
TOMOUSDT,8/24/2019,11/20/2023
PERLUSDT,8/26/2019,12/7/2023
DENTUSDT,8/27/2019,5/9/2024
MFTUSDT,8/27/2019,1/3/2023
KEYUSDT,8/27/2019,5/9/2024
STORMUSDT,8/27/2019,6/8/2020
DOCKUSDT,8/27/2019,5/9/2024
WANUSDT,8/27/2019,5/9/2024
FUNUSDT,8/27/2019,5/9/2024
CVCUSDT,8/27/2019,5/9/2024
CHZUSDT,9/6/2019,5/9/2024
BANDUSDT,9/18/2019,5/9/2024
BUSDUSDT,9/20/2019,12/15/2023
BEAMUSDT,9/21/2019,1/26/2023
XTZUSDT,9/24/2019,5/9/2024
RENUSDT,9/25/2019,5/9/2024
RVNUSDT,9/25/2019,5/9/2024
HCUSDT,9/25/2019,11/10/2020
HBARUSDT,9/29/2019,5/9/2024
NKNUSDT,10/11/2019,5/9/2024
STXUSDT,10/25/2019,5/9/2024
KAVAUSDT,10/25/2019,5/9/2024
ARPAUSDT,11/6/2019,5/9/2024
IOTXUSDT,11/14/2019,5/9/2024
RLCUSDT,11/14/2019,5/9/2024
MCOUSDT,11/19/2019,10/23/2020
CTXCUSDT,11/22/2019,5/9/2024
BCHUSDT,11/28/2019,5/9/2024
TROYUSDT,12/5/2019,5/9/2024
VITEUSDT,12/13/2019,5/9/2024
FTTUSDT,12/20/2019,5/9/2024
EURUSDT,1/3/2020,5/9/2024
OGNUSDT,1/9/2020,5/9/2024
DREPUSDT,1/16/2020,4/3/2024
BULLUSDT,1/17/2020,3/31/2020
BEARUSDT,1/17/2020,3/31/2020
ETHBULLUSDT,1/17/2020,3/31/2020
ETHBEARUSDT,1/17/2020,3/31/2020
TCTUSDT,1/21/2020,10/24/2022
WRXUSDT,2/5/2020,5/9/2024
BTSUSDT,2/6/2020,12/7/2023
LSKUSDT,2/6/2020,5/9/2024
BNTUSDT,2/6/2020,5/9/2024
LTOUSDT,2/7/2020,5/9/2024
EOSBULLUSDT,2/12/2020,3/31/2020
EOSBEARUSDT,2/12/2020,3/31/2020
XRPBULLUSDT,2/12/2020,3/31/2020
XRPBEARUSDT,2/12/2020,3/31/2020
STRATUSDT,2/19/2020,11/12/2020
AIONUSDT,2/19/2020,2/27/2023
MBLUSDT,2/21/2020,5/9/2024
COTIUSDT,2/26/2020,5/9/2024
BNBBULLUSDT,3/11/2020,3/31/2020
BNBBEARUSDT,3/11/2020,3/31/2020
STPTUSDT,3/25/2020,5/9/2024
WTCUSDT,4/7/2020,12/7/2023
DATAUSDT,4/7/2020,5/9/2024
XZCUSDT,4/7/2020,1/25/2021
SOLUSDT,8/11/2020,5/9/2024
CTSIUSDT,4/23/2020,5/9/2024
HIVEUSDT,4/27/2020,5/9/2024
CHRUSDT,5/7/2020,5/9/2024
BTCUPUSDT,5/14/2020,2/28/2024
