Symbol1,Symbol2,CointegrationScore,CointegrationPValue,CointegrationResult,Error,Hurst1,Hurst2,HurstResult,HalfLife1,HalfLife2,HalfLifeResult,OverallResult
BTCUSDT,ETHUSDT,-1.544037549,0.743921245,Fail,,,,,,,,Fail
BTCUSDT,BNBUSDT,-1.589482165,0.725308907,Fail,,,,,,,,Fail
BTCUSDT,NEOUSDT,-2.405942092,0.322045846,Fail,,,,,,,,Fail
BTCUSDT,LTCUSDT,-2.545050742,0.25956979,Pass,,0.898707738,0.859422737,Fail,,,,Fail
BTCUSDT,QTUMUSDT,-2.654360973,0.216420694,Pass,,0.898707738,0.898116452,Fail,,,,Fail
BTCUSDT,ADAUSDT,-2.215165801,0.416557154,Fail,,,,,,,,Fail
BTCUSDT,XRPUSDT,-2.398792581,0.325427059,Fail,,,,,,,,Fail
BTCUSDT,EOSUSDT,-2.085559323,0.48391755,Fail,,,,,,,,Fail
BTCUSDT,TUSDUSDT,-1.911594102,0.574115043,Fail,,,,,,,,Fail
BTCUSDT,IOTAUSDT,-2.757060015,0.179730146,Pass,,0.898707738,0.861003471,Fail,,,,Fail
BTCUSDT,XLMUSDT,-2.715959213,0.193891362,Pass,,0.898707738,0.864145695,Fail,,,,Fail
BTCUSDT,ONTUSDT,-2.102444229,0.475089541,Fail,,,,,,,,Fail
BTCUSDT,TRXUSDT,-2.185999721,0.431594478,Fail,,,,,,,,Fail
BTCUSDT,ETCUSDT,-1.620546538,0.712140015,Fail,,,,,,,,Fail
BTCUSDT,ICXUSDT,-2.294875014,0.376112879,Fail,,,,,,,,Fail
BTCUSDT,NULSUSDT,-2.743639854,0.184276962,Pass,,0.898707738,0.758764543,Fail,,,,Fail
BTCUSDT,VETUSDT,-2.570953137,0.248703726,Pass,,0.898707738,1.081386857,Fail,,,,Fail
BTCUSDT,USDCUSDT,-1.837670446,0.61125036,Fail,,,,,,,,Fail
BTCUSDT,LINKUSDT,-2.631608065,0.225133983,Pass,,0.898707738,0.762970871,Fail,,,,Fail
BTCUSDT,WAVESUSDT,-2.519747759,0.270429815,Pass,,0.898707738,1.068940644,Fail,,,,Fail
BTCUSDT,ONGUSDT,-2.653853732,0.21661266,Pass,,0.898707738,0.816268359,Fail,,,,Fail
BTCUSDT,HOTUSDT,-2.875249385,0.142911762,Pass,,0.898707738,1.289402258,Fail,,,,Fail
BTCUSDT,ZILUSDT,-1.787858696,0.635600625,Fail,,,,,,,,Fail
BTCUSDT,ZRXUSDT,-2.398408754,0.325609006,Fail,,,,,,,,Fail
BTCUSDT,FETUSDT,-2.731539839,0.188440614,Pass,,0.898707738,1.020419696,Fail,,,,Fail
BTCUSDT,BATUSDT,-2.763037116,0.177729161,Pass,,0.898707738,0.823871252,Fail,,,,Fail
BTCUSDT,ZECUSDT,-3.039475557,0.10111766,Pass,,0.898707738,0.668873904,Fail,,,,Fail
BTCUSDT,IOSTUSDT,-3.309906383,0.053388858,Pass,,0.898707738,0.962918172,Fail,,,,Fail
BTCUSDT,CELRUSDT,-2.64062923,0.221654286,Pass,,0.898707738,1.158532322,Fail,,,,Fail
BTCUSDT,DASHUSDT,-2.263310607,0.391996123,Fail,,,,,,,,Fail
BTCUSDT,OMGUSDT,-2.200443475,0.424134832,Fail,,,,,,,,Fail
BTCUSDT,THETAUSDT,-2.111824717,0.470187649,Fail,,,,,,,,Fail
BTCUSDT,ENJUSDT,-2.815857342,0.160691351,Pass,,0.898707738,1.131217431,Fail,,,,Fail
BTCUSDT,MATICUSDT,-1.968722927,0.54479305,Fail,,,,,,,,Fail
BTCUSDT,ATOMUSDT,-2.714133123,0.194536784,Pass,,0.898707738,0.855596246,Fail,,,,Fail
BTCUSDT,TFUELUSDT,-2.646706927,0.21932847,Pass,,0.898707738,1.338382022,Fail,,,,Fail
BTCUSDT,ONEUSDT,-2.247456098,0.40004339,Fail,,,,,,,,Fail
BTCUSDT,FTMUSDT,-1.860813053,0.599741217,Fail,,,,,,,,Fail
BTCUSDT,ALGOUSDT,-3.063776735,0.095812431,Pass,,0.898707738,0.829273904,Fail,,,,Fail
BTCUSDT,DOGEUSDT,-2.644714193,0.220089405,Pass,,0.898707738,1.492693193,Fail,,,,Fail
BTCUSDT,DUSKUSDT,-2.385686591,0.331663789,Fail,,,,,,,,Fail
BTCUSDT,ANKRUSDT,-2.519507825,0.27053393,Pass,,0.898707738,1.164590281,Fail,,,,Fail
BTCUSDT,WINUSDT,-2.928779746,0.128119798,Pass,,0.898707738,1.161913193,Fail,,,,Fail
BTCUSDT,COSUSDT,-3.480381228,0.034174631,Pass,,0.898707738,0.759804122,Fail,,,,Fail
BTCUSDT,MTLUSDT,-3.156277328,0.077549082,Pass,,0.898707738,0.952881201,Fail,,,,Fail
BTCUSDT,DENTUSDT,-2.771793467,0.174824563,Pass,,0.898707738,1.375097179,Fail,,,,Fail
BTCUSDT,KEYUSDT,-2.719943648,0.192487874,Pass,,0.898707738,0.903494284,Fail,,,,Fail
BTCUSDT,DOCKUSDT,-2.347721226,0.349997557,Fail,,,,,,,,Fail
BTCUSDT,WANUSDT,-2.142408294,0.454230073,Fail,,,,,,,,Fail
BTCUSDT,FUNUSDT,-2.267179562,0.390039069,Fail,,,,,,,,Fail
BTCUSDT,CVCUSDT,-3.849674423,0.011623379,Pass,,0.898707738,1.059326229,Fail,,,,Fail
BTCUSDT,CHZUSDT,-2.080943912,0.48633116,Fail,,,,,,,,Fail
BTCUSDT,BANDUSDT,-1.706175809,0.674077583,Fail,,,,,,,,Fail
BTCUSDT,XTZUSDT,-2.84278415,0.152450669,Pass,,0.898707738,0.690041193,Fail,,,,Fail
BTCUSDT,RENUSDT,-2.12078885,0.465505999,Fail,,,,,,,,Fail
BTCUSDT,RVNUSDT,-2.919461197,0.130611805,Pass,,0.898707738,0.98558306,Fail,,,,Fail
BTCUSDT,HBARUSDT,-3.229393479,0.065148249,Pass,,0.898707738,0.981276225,Fail,,,,Fail
BTCUSDT,NKNUSDT,-2.667577124,0.211455924,Pass,,0.898707738,1.279929278,Fail,,,,Fail
BTCUSDT,STXUSDT,-2.619925967,0.228879769,Pass,,0.898707738,0.964218655,Fail,,,,Fail
BTCUSDT,KAVAUSDT,-2.74475461,0.183896428,Pass,,0.898707738,0.672012069,Fail,,,,Fail
BTCUSDT,ARPAUSDT,-2.214595399,0.416850221,Fail,,,,,,,,Fail
BTCUSDT,IOTXUSDT,-2.403280644,0.323302763,Fail,,,,,,,,Fail
BTCUSDT,RLCUSDT,-2.564750978,0.251281982,Pass,,0.898707738,0.901966766,Fail,,,,Fail
BTCUSDT,CTXCUSDT,-2.446972702,0.302942471,Fail,,,,,,,,Fail
BTCUSDT,BCHUSDT,-2.507424271,0.275804548,Pass,,0.898707738,0.872162881,Fail,,,,Fail
BTCUSDT,TROYUSDT,-2.770147312,0.175368182,Pass,,0.898707738,0.875406971,Fail,,,,Fail
BTCUSDT,VITEUSDT,-2.374421353,0.337063336,Fail,,,,,,,,Fail
BTCUSDT,FTTUSDT,-1.693145121,0.680028574,Fail,,,,,,,,Fail
ETHUSDT,BNBUSDT,-2.644829963,0.220045154,Pass,,1.089246293,1.210574161,Fail,,,,Fail
ETHUSDT,NEOUSDT,-1.544402561,0.743774911,Fail,,,,,,,,Fail
ETHUSDT,LTCUSDT,-1.380138555,0.80424007,Fail,,,,,,,,Fail
ETHUSDT,QTUMUSDT,-1.864110048,0.59809235,Fail,,,,,,,,Fail
ETHUSDT,ADAUSDT,-2.429461466,0.311031292,Fail,,,,,,,,Fail
ETHUSDT,XRPUSDT,-2.75666272,0.179863677,Pass,,1.089246293,0.785911898,Fail,,,,Fail
ETHUSDT,EOSUSDT,-1.55037189,0.741374454,Fail,,,,,,,,Fail
ETHUSDT,TUSDUSDT,-1.789612818,0.634753694,Fail,,,,,,,,Fail
ETHUSDT,IOTAUSDT,-2.182108677,0.433607965,Fail,,,,,,,,Fail
ETHUSDT,XLMUSDT,-1.51519987,0.755317527,Fail,,,,,,,,Fail
ETHUSDT,ONTUSDT,-1.782781142,0.6380476,Fail,,,,,,,,Fail
ETHUSDT,TRXUSDT,-2.566585731,0.250517713,Pass,,1.089246293,0.859759763,Fail,,,,Fail
ETHUSDT,ETCUSDT,-1.81548489,0.622170473,Fail,,,,,,,,Fail
ETHUSDT,ICXUSDT,-1.882936835,0.588635408,Fail,,,,,,,,Fail
ETHUSDT,NULSUSDT,-1.901047909,0.579475277,Fail,,,,,,,,Fail
ETHUSDT,VETUSDT,-2.135283901,0.457943132,Fail,,,,,,,,Fail
ETHUSDT,USDCUSDT,-1.767089984,0.645565525,Fail,,,,,,,,Fail
ETHUSDT,LINKUSDT,-1.262976244,0.840629795,Fail,,,,,,,,Fail
ETHUSDT,WAVESUSDT,-2.769123189,0.175706952,Pass,,1.089246293,1.068940644,Fail,,,,Fail
ETHUSDT,ONGUSDT,-3.268531097,0.059195079,Pass,,1.089246293,0.816268359,Fail,,,,Fail
ETHUSDT,HOTUSDT,-2.570756617,0.24878519,Pass,,1.089246293,1.289402258,Fail,,,,Fail
ETHUSDT,ZILUSDT,-1.469328354,0.772764477,Fail,,,,,,,,Fail
ETHUSDT,ZRXUSDT,-1.587034975,0.726331146,Fail,,,,,,,,Fail
ETHUSDT,FETUSDT,-2.517990854,0.271192685,Pass,,1.089246293,1.020419696,Fail,,,,Fail
ETHUSDT,BATUSDT,-2.736393831,0.186763043,Pass,,1.089246293,0.823871252,Fail,,,,Fail
ETHUSDT,ZECUSDT,-2.364102565,0.342039719,Fail,,,,,,,,Fail
ETHUSDT,IOSTUSDT,-2.040184665,0.507636393,Fail,,,,,,,,Fail
ETHUSDT,CELRUSDT,-3.926815775,0.009105835,Pass,,1.089246293,1.158532322,Fail,,,,Fail
ETHUSDT,DASHUSDT,-1.566145465,0.734965208,Fail,,,,,,,,Fail
ETHUSDT,OMGUSDT,-2.022017579,0.51711559,Fail,,,,,,,,Fail
ETHUSDT,THETAUSDT,-1.704573261,0.674812387,Fail,,,,,,,,Fail
ETHUSDT,ENJUSDT,-3.071706976,0.094127979,Pass,,1.089246293,1.131217431,Fail,,,,Fail
ETHUSDT,MATICUSDT,-2.88189988,0.141010925,Pass,,1.089246293,1.627042021,Fail,,,,Fail
ETHUSDT,ATOMUSDT,-3.09483186,0.089345541,Pass,,1.089246293,0.855596246,Fail,,,,Fail
ETHUSDT,TFUELUSDT,-2.077137269,0.488321859,Fail,,,,,,,,Fail
ETHUSDT,ONEUSDT,-3.719199689,0.017309521,Pass,,1.089246293,1.28884649,Fail,,,,Fail
ETHUSDT,FTMUSDT,-2.670050921,0.210534531,Pass,,1.089246293,1.512572706,Fail,,,,Fail
ETHUSDT,ALGOUSDT,-2.360810348,0.343633426,Fail,,,,,,,,Fail
ETHUSDT,DOGEUSDT,-2.096892305,0.477991784,Fail,,,,,,,,Fail
ETHUSDT,DUSKUSDT,-2.168611456,0.440603983,Fail,,,,,,,,Fail
ETHUSDT,ANKRUSDT,-2.864201842,0.146109259,Pass,,1.089246293,1.164590281,Fail,,,,Fail
